sheet,column,gap_status,confidence,candidate_current_tables,candidate_any_schema,rationale
Header,Fill Item Body,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Header,Fill Adjustments,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Header,Agent,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.Agent,PreviousYear_POSPartyDetails_Table.Agent; Transaction_Header_Table.Agent,Exact/alias match exists in currently integrated ERP tables.
Header,Courier Details,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Header,Transporter,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.Transporter,Master_Preferences_Table.Transporter; Master_Preferences_Tablebak.Transporter; PreviousYear_POSPartyDetails_Table.Transporter; Transaction_Header_Table.Transporter; TripsheetDetails_Table.Transporter; UnloadingSheetDetails_Table.Transporter,Exact/alias match exists in currently integrated ERP tables.
Header,Vehicle No,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.VehicleNo; Transaction_ItemBody_Table.VehicleNo,FillingStationSummaryBill_Body_Table.VehicleNo; PermitDetails_Table.VehicleNo; PreviousYear_POSPartyDetails_Table.VehicleNo; PreviousYear_POSSales_Table.VehicleNo; Transaction_EWBDetails_Table.VehicleNo; Transaction_ExecutiveTimeSheet_Table.VehicleNo; Transaction_Header_Table.VehicleNo; Transaction_ItemBody_Table.VehicleNo; Transaction_ItemBody1_Table.VehicleNo; Transaction_ReturnItemBody_Table.VehicleNo; Transaction_ServiceHeader_Table.VehicleNo; vehicle_insurance_table.VehicleNo,Exact/alias match exists in currently integrated ERP tables.
Header,Vehicle Type,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.VehicleType,PreviousYear_POSPartyDetails_Table.VehicleType; TirePutOff_Header_Table.VehicleType; TirePutOn_Header_Table.VehicleType; Transaction_Header_Table.VehicleType; TripsheetDetails_Table.VehicleType; UnloadingSheetDetails_Table.VehicleType,Exact/alias match exists in currently integrated ERP tables.
Header,LR No,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.LRNo,LRBillDetails_Table.LRNo; LRReceiptDetails_Table.LRNo; PreviousYear_POSPartyDetails_Table.LRNo; Transaction_AdditionalCharges_Table.LRNo; Transaction_EWBDetails_Table.LRNo; Transaction_Header_Table.LRNo; Tripsheet_ItemDetails_Table.LRNo; UnloadingSheet_ItemDetails_Table.LRNo,Exact/alias match exists in currently integrated ERP tables.
Header,LR Date,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.LRDate,LRReceiptDetails_Table.LRDate; PreviousYear_POSPartyDetails_Table.LRDate; Transaction_AdditionalCharges_Table.LRDate; Transaction_EWBDetails_Table.LRDate; Transaction_Header_Table.LRDate,Exact/alias match exists in currently integrated ERP tables.
Header,Ref VoucherSeries,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.ReferenceVoucherSeries,AssetSale_Reference_Table.RefVoucherSeries; BillWiseBalances2020.ReferenceVoucherSeries; billwiseOpeningBalances.ReferenceVoucherSeries; LastYearCreditorBalances.ReferenceVoucherSeries; PreviousYear_POSPartyDetails_Table.ReferenceVoucherSeries; temp_adjbillspay.ReferenceVoucherSeries; Transaction_Header_Table.ReferenceVoucherSeries,Exact/alias match exists in currently integrated ERP tables.
Header,Party Ref Date,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.PartyRefDocDate; Transaction_Payments_Table.SupplierInvDate,AssetSale_Reference_Table.PartyRefDate; LastYearCreditorBalances.PartyRefDocDate; PreviousYear_POSPartyDetails_Table.PartyRefDocDate; temp_adjbillspay.PartyRefDocDate; Transaction_Header_Table.PartyRefDocDate; OldYearCreditorsBillWiseBalances.SupplierInvDate; Transaction_Payments_Table.SupplierInvDate,Exact/alias match exists in currently integrated ERP tables.
Header,ServiceTaxAccount,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,TaxConfigurationDetails_Table.TaxAccount,Match exists in script.sql but outside current connector table scope.
Header,BEDAccount,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Header,EdCessAccount,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Header,SHEdCessAccount,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Header,ImportDutyAccount,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Header,CSTAccount,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,TaxConfigurationDetails_Table.TaxAccount,Match exists in script.sql but outside current connector table scope.
Header,VATAccount,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,TaxConfigurationDetails_Table.TaxAccount,Match exists in script.sql but outside current connector table scope.
Header,AddlVATAccount,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Header,CGSTAccount,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.CGSTAccount,Transaction_Header_Table.CGSTAccount; TaxConfigurationDetails_Table.TaxAccount,Exact/alias match exists in currently integrated ERP tables.
Header,SGSTAccount,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.SGSTAccount,Transaction_Header_Table.SGSTAccount; TaxConfigurationDetails_Table.TaxAccount,Exact/alias match exists in currently integrated ERP tables.
Header,IGSTAccount,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.IGSTAccount,Transaction_Header_Table.IGSTAccount; TaxConfigurationDetails_Table.TaxAccount,Exact/alias match exists in currently integrated ERP tables.
Header,TCS Payable Ac,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.TCSPayableAc,TCS_STRUCTUREDETAILS_TABLE.TCSPayableAc; Transaction_Header_Table.TCSPayableAc; Transaction_TCSDetails_Table.TCSPayableAc,Exact/alias match exists in currently integrated ERP tables.
Header,Transport Amount,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.TransportAmount,Transaction_Header_Table.TransportAmount,Exact/alias match exists in currently integrated ERP tables.
Summary,Total Packages,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.TotalPackages,Transaction_Header_Table.TotalPackages,Exact/alias match exists in currently integrated ERP tables.
Summary,Total Broken,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Summary,Total Broken Packages,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Summary,Total Discount,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.TotalDiscount,AssetSale_Summary_Table.TotalDiscount; CoverNoteHeaderDetails_Table.TotalDiscount; LRBookingDetails_Table.TotalDiscount; PreviousYear_POSPartyDetails_Table.TotalDiscount; SaudaHeaderDetails_Table.TotalDiscount; ServiceBooking_Header_Table.TotalDiscount; Transaction_Header_Table.TotalDiscount; UserHandoverHeaderDetails_Table.TotalDiscount,Exact/alias match exists in currently integrated ERP tables.
Summary,Total GrossMinusDisc,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,CoverNoteHeaderDetails_Table.TotalGrossMinusDisc; SaudaHeaderDetails_Table.TotalGrossMinusDisc,Match exists in script.sql but outside current connector table scope.
Summary,Total Other Chgs,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Summary,Total Service Tax,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.TotalServiceTax,PreviousYear_POSPartyDetails_Table.TotalServiceTax; Transaction_BodyTaxes_Table.TotalServiceTax; Transaction_Header_Table.TotalServiceTax,Exact/alias match exists in currently integrated ERP tables.
Summary,Total Excise,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.TotalExcise,AssetSale_Summary_Table.TotalExcise; PreviousYear_POSPartyDetails_Table.TotalExcise; Transaction_Header_Table.TotalExcise,Exact/alias match exists in currently integrated ERP tables.
Summary,Total Import Fee,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Summary,Total CST,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Summary,Total ST/VAT,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.TotalSTVAT,AssetSale_Summary_Table.TotalSTVAT; PreviousYear_POSPartyDetails_Table.TotalSTVAT; Transaction_Header_Table.TotalSTVAT,Exact/alias match exists in currently integrated ERP tables.
Summary,Total Freight,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.TotalFreight,Transaction_Header_Table.TotalFreight,Exact/alias match exists in currently integrated ERP tables.
Summary,Total Tax Adj,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Summary,Total Add,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.TotalAdd,AssetSale_Summary_Table.TotalAdd; PreviousYear_POSPartyDetails_Table.TotalAdd; ServiceBooking_Header_Table.TotalAdd; Transaction_Adjustments_Table.TotalAdd; Transaction_Header_Table.TotalAdd,Exact/alias match exists in currently integrated ERP tables.
Summary,Total Less,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.TotalLess,AssetSale_Summary_Table.TotalLess; PreviousYear_POSPartyDetails_Table.TotalLess; Transaction_Adjustments_Table.TotalLess; Transaction_Header_Table.TotalLess,Exact/alias match exists in currently integrated ERP tables.
Summary,Round Off Account,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Summary,Round off,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.roundoff,PreviousYear_POSPartyDetails_Table.roundoff; ProductMarginDetails_Table.Roundoff; Transaction_Header_Table.roundoff,Exact/alias match exists in currently integrated ERP tables.
Summary,Round off Dr,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.roundoffDr,PreviousYear_POSPartyDetails_Table.roundoffDr; Transaction_Header_Table.roundoffDr,Exact/alias match exists in currently integrated ERP tables.
Summary,Round off Cr,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.roundoffCr,PreviousYear_POSPartyDetails_Table.roundoffCr; Transaction_Header_Table.roundoffCr,Exact/alias match exists in currently integrated ERP tables.
Summary,Taxable Advance,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Summary,LedgerCrBalance,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Summary,TDS Nature,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Payments_Table.TDSNature,Transaction_Adjustments_Table.TDSNature; Transaction_Payments_Table.TDSNature; Transaction_TDSDeductionProcess_Table.TDSNature; Transaction_TDSDetails_Table.TDSNature,Exact/alias match exists in currently integrated ERP tables.
Summary,TDS Account,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Payments_Table.TDSAccount,TDS_TDSNaturePropertyDetails_Table.TDSAccount; Transaction_Adjustments_Table.TDSAccount; Transaction_Payments_Table.TDSAccount; Transaction_TDSDetails_Table.TDSAccount,Exact/alias match exists in currently integrated ERP tables.
Summary,TDS Rate,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Payments_Table.TDSRate,TDS_TDSNaturePropertyDetails_Table.TDSRate; Transaction_Adjustments_Table.TDSRate; Transaction_Payments_Table.TDSRate; Transaction_TDSDetails_Table.TDSRate,Exact/alias match exists in currently integrated ERP tables.
Summary,TDS Amount,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Payments_Table.TDSAmount,Transaction_Adjustments_Table.TDSAmount; Transaction_Payments_Table.TDSAmount; Transaction_TDSDetails_Table.TDSAmount,Exact/alias match exists in currently integrated ERP tables.
Summary,TCS Rate,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,TCS_STRUCTUREDETAILS_TABLE.TCSRate; Transaction_TCSDetails_Table.TCSRate,Match exists in script.sql but outside current connector table scope.
Summary,TCS Amount,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_TCSDetails_Table.TCSAmount,Match exists in script.sql but outside current connector table scope.
Summary,Advance Amount,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.AdvanceAmount,RoomCheckinDetails_Table.AdvanceAmount; RoomReservationDetails_Table.AdvanceAmount; ServiceBooking_Header_Table.AdvanceAmount; Transaction_Header_Table.AdvanceAmount,Exact/alias match exists in currently integrated ERP tables.
Summary,Amount Paid,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.AmountPaid; Transaction_Payments_Table.AmountPaid,AssetSale_Summary_Table.AmountPaid; PreviousYear_POSPartyDetails_Table.AmountPaid; ServiceBooking_Header_Table.AmountPaid; Transaction_Header_Table.AmountPaid; Transaction_Payments_Table.AmountPaid; Transaction_PDC_Table.AmountPaid,Exact/alias match exists in currently integrated ERP tables.
Summary,PendingName,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,PendingDetails_Table.PendingName; PendingDetails_Table_202210121.PendingName; Transaction_Adjustments_Table.PendingName,Match exists in script.sql but outside current connector table scope.
Summary,PendingNo,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.PendingNo; Transaction_Payments_Table.PendingNo,KOT_ItemBodyDetails_Table.PendingNo; PendingAdjustedDetails_Table.PendingNo; PendingAdjustedDetails_Tablebak.PendingNo; PendingDetails_Table.PendingNo; PendingDetails_Table_202210121.PendingNo; PreviousYear_POSPartyDetails_Table.PendingNo; siddivinayakaadjustments.PendingNo; temp_adjbills.PendingNo; temp_adjbillspay.PendingNo; Transaction_Header_Table.PendingNo; Transaction_Payments_Table.PendingNo,Exact/alias match exists in currently integrated ERP tables.
Summary,PendingValue,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.PendingValue,PendingDetails_Table.PendingValue; PendingDetails_Table_202210121.PendingValue; temp_adjbills.PendingValue; temp_adjbillspay.PendingValue; Transaction_Header_Table.PendingValue,Exact/alias match exists in currently integrated ERP tables.
Advance Set Off Body,Sno,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Master_MasterCodes_Table.VoucherLineNo; Master_RegistrationDetails_Table.VoucherLineNo; Master_Table.VoucherLineNo; Transaction_Header_Table.VoucherLineNo; Transaction_ItemBody_Table.VoucherLineNo; Transaction_Payments_Table.VoucherLineNo,OpeningUnClearedCheques.Sno; recbleforemail.Sno; Sheet$.S No; StockBalances2023.S No; StockBalances2023.SNO; temp_adjbills.SNO; temp_adjbillspay.SNO; temp_bcd_table.Sno; TempAllocatedDetailsBody_Table.Sno; tempsproduct.Sno; AcadamicYearDetails_Table.VoucherLineNo; Account_AccountGroup_Table.VoucherLineNo,Exact/alias match exists in currently integrated ERP tables.
Advance Set Off Body,rid,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.RID; Transaction_Payments_Table.rid,AssetStockLedger_Table.RID; BillWiseBalances2020.Rid; billwiseOpeningBalances.Rid; ConsumablesIssuebody_table.RID; deleteddutydrawback.RID; DeliveryPackingListDetails_Table.Rid; Diagnos_DiagnosticTestResults_Table.RID; Diagnos_InvestigationReceiptDetails_Table.RID; FeeReceivableDetails_table.rid; FillingStationCreditBill_Body_Table.rid; FillingStationSummaryBill_Body_Table.Rid; InspectionServiceCall_MachineDetails_Table.rid,Exact/alias match exists in currently integrated ERP tables.
Advance Set Off Body,tvrid,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_ItemBody_Table.TVRID,ConsumablesIssuebody_table.TVRID; DeliveryPackingListDetails_Table.TVRid; Diagnos_DiagnosticTestResults_Table.TVRID; Diagnos_InvestigationReceiptDetails_Table.TVRID; FeeReceivedDetails_table.tvrid; FillingStationSummaryBill_Body_Table.tvrid; InspectionServiceCall_MachineDetails_Table.tvrid; IssuestoProduction_ItemBody_Table.TVRID; PackingDetails_ItemBody_Table.TVRid; PreviousYear_POSSales_Table.TVRID; TailorOrderAllocationOrDeliveryDetails_Table.TVrid; TempAllocatedDetailsBody_Table.TVRid,Exact/alias match exists in currently integrated ERP tables.
Advance Set Off Body,Towards Vno,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Payments_Table.TowardsVNo,ConsumablesIssuebody_table.TowardsVno; InspectionServiceCall_MachineDetails_Table.TowardsVno; IssuestoProduction_Header_Table.TowardsVNo; ReceiptsfromProduction_Header_Table.TowardsVNo; TailorOrderAllocationOrDeliveryDetails_Table.TowardsVno; temp_adjbills.TowardsVNo; temp_adjbillspay.TowardsVNo; Transaction_AdditionalCharges_Table.TowardsVno; Transaction_Adjustments_Table.TowardsVNo; Transaction_CloseServiceCallDetails_Table.TowardsVNo; Transaction_ExchangeDifferenceDetails_Table.TowardsVno; Transaction_ExchangeDifferenceDetails_Table1.TowardsVno,Exact/alias match exists in currently integrated ERP tables.
Advance Set Off Body,Amount,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,EFIMRDetailsTable.AMOUNT; Transaction_Payments_Table.Amount,ApplicationDetails_Table.Amount; Assets_ComponentDetails_Table.Amount; AssetSale_PaymentsBody_Table.Amount; BillwiseSalesManCommission_Table.Amount; BudgetDetails_Table.Amount; Class_FeeBody_Table.Amount; ConsumablesIssuebody_table.Amount; Diagnos_InvestigationReceiptDetails_Table.Amount; EFIMRDetailsTable.AMOUNT; EmployeeAdhocComponentDetails_Table.Amount; EmployeePayslipDetails_Table.Amount; FeeReceivableDetails_table.Amount,Exact/alias match exists in currently integrated ERP tables.
Advance Set Off Body,Amount Adjusted,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Advance Set Off Body,Source Exchange Rate,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.ExchangeRate; Transaction_ItemBody_Table.ExchangeRate; Transaction_Payments_Table.ExchangeRate,Transaction_ExchangeDifferenceDetails_Table.SourceExchangeRate; Transaction_ExchangeDifferenceDetails_Table1.SourceExchangeRate; BillWiseBalances2020.ExchangeRate; billwiseOpeningBalances.ExchangeRate; deleteddutydrawback.ExchangeRate; ExchangeRateDetails_Table.ExchangeRate; LastYearCreditorBalances.ExchangeRate; ledbak2118.ExchangeRate; Ledger_Table.ExchangeRate; LedgerAccErr.ExchangeRate; obbca.ExchangeRate; obstodelete.ExchangeRate,Exact/alias match exists in currently integrated ERP tables.
Advance Set Off Body,Exchange Account,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_ExchangeDifferenceDetails_Table.ExchangeAccount; Transaction_ExchangeDifferenceDetails_Table1.ExchangeAccount,Match exists in script.sql but outside current connector table scope.
Advance Set Off Body,Exchange Amt,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Advance Set Off Body,Exchange Loss,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_ExchangeDifferenceDetails_Table.ExchangeLoss; Transaction_ExchangeDifferenceDetails_Table1.ExchangeLoss,Match exists in script.sql but outside current connector table scope.
Advance Set Off Body,Exchange Gain,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,Transaction_ExchangeDifferenceDetails_Table.ExchangeGain; Transaction_ExchangeDifferenceDetails_Table1.ExchangeGain,Match exists in script.sql but outside current connector table scope.
Voucher,VSeries,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Voucher,VoucherSeries,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Master_MasterCodes_Table.VoucherSeries; Master_RegistrationDetails_Table.VoucherSeries; Master_Table.VoucherSeries; Transaction_Header_Table.VoucherSeries; Transaction_ItemBody_Table.VoucherSeries; Transaction_Payments_Table.VoucherSeries; VoucherDetails_Table.VoucherSeries,AcadamicYearDetails_Table.VoucherSeries; Account_AccountGroup_Table.VoucherSeries; AccountingPeriod_Status_Table.VoucherSeries; AdvanceLicenseDetails_Table.VoucherSeries; An_CurrentStatus.VoucherSeries; An_SendMessage.VoucherSeries; Apparel_ReorderLevels_Table.VoucherSeries; ApparelPhysicalStockCheckedItems_Table.VoucherSeries; ApparelPhysicalStockUpdate_Barcode_Table.VoucherSeries; ApparelPhysicalStockUpdate_Header_Table.VoucherSeries; ApparelPhysicalStockUpdate_ItemBody_Table.VoucherSeries; ApplicationDetails_Table.VoucherSeries,Exact/alias match exists in currently integrated ERP tables.
Voucher,VoucherNo,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Master_MasterCodes_Table.VoucherNo; Master_RegistrationDetails_Table.VoucherNo; Master_Table.VoucherNo; Transaction_Header_Table.VoucherNo; Transaction_ItemBody_Table.VoucherNo; Transaction_Payments_Table.VoucherNo; VoucherDetails_Table.VoucherNo,AcadamicYearDetails_Table.VoucherNo; Account_AccountGroup_Table.VoucherNo; AccountingPeriod_Status_Table.VoucherNo; AdvanceLicenseDetails_Table.VoucherNo; An_CurrentStatus.VoucherNo; An_SendMessage.VoucherNo; Apparel_ReorderLevels_Table.VoucherNo; ApparelPhysicalStockCheckedItems_Table.VoucherNo; ApparelPhysicalStockUpdate_Barcode_Table.VoucherNo; ApparelPhysicalStockUpdate_Header_Table.VoucherNo; ApparelPhysicalStockUpdate_ItemBody_Table.VoucherNo; ApplicationDetails_Table.VoucherNo,Exact/alias match exists in currently integrated ERP tables.
Voucher,VoucherId,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.voucherid,PreviousYear_POSPartyDetails_Table.voucherid; TempTransactionsSlnosBody_Table.VoucherId; TIB_SchemeBenefits.VoucherID; Transaction_Header_Table.voucherid; TransactionsSlnosBody_Table.VoucherId,Exact/alias match exists in currently integrated ERP tables.
Voucher,crid,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Voucher,crqty,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
Voucher,Authorisation Status,FILLABLE_WITH_SCHEMA_EXTENSIONS,MEDIUM,,AuthorisationStatusDetails_Table.authorisationstatus,Match exists in script.sql but outside current connector table scope.
Adjustments Body,Sno,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Master_MasterCodes_Table.VoucherLineNo; Master_RegistrationDetails_Table.VoucherLineNo; Master_Table.VoucherLineNo; Transaction_Header_Table.VoucherLineNo; Transaction_ItemBody_Table.VoucherLineNo; Transaction_Payments_Table.VoucherLineNo,OpeningUnClearedCheques.Sno; recbleforemail.Sno; Sheet$.S No; StockBalances2023.S No; StockBalances2023.SNO; temp_adjbills.SNO; temp_adjbillspay.SNO; temp_bcd_table.Sno; TempAllocatedDetailsBody_Table.Sno; tempsproduct.Sno; AcadamicYearDetails_Table.VoucherLineNo; Account_AccountGroup_Table.VoucherLineNo,Exact/alias match exists in currently integrated ERP tables.
Adjustments Body,Account,FILLABLE_FROM_CURRENT_ERP_TABLES,HIGH,Transaction_Header_Table.Account; Transaction_Payments_Table.PartyAccount; Transaction_Payments_Table.PaymentAccount,AssetSale_AdjustmentsBody_Table.Account; AssetSale_Reference_Table.Account; BillWiseBalances2020.Account; billwiseOpeningBalances.Account; BudgetDetails_Table.Account; deleteddutydrawback.Account; Diagnos_TransHeader_Table.Account; FeeReceivableDetails_table.Account; FeeReceivedDetails_table.Account; LastYearCreditorBalances.Account; ledbak2118.Account; Ledger_Table.Account,Exact/alias match exists in currently integrated ERP tables.
Adjustments Body,Add,REQUIRES_NEW_FIELD_OR_TABLE,LOW,,,No exact/alias match in script.sql columns.
